,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,56,7,1,1,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
1,57,6,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
2,37,6,1,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
3,40,1,1,2,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
4,56,6,1,4,0,0,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
5,45,6,1,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
6,59,1,1,5,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
7,41,3,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
8,24,4,2,5,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
9,25,6,2,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
10,41,3,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
11,25,6,2,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
12,29,3,2,4,0,0,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
13,57,7,0,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
14,35,3,1,2,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
15,54,8,1,3,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
16,35,3,1,2,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
17,46,3,1,2,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
18,50,3,1,3,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
19,39,2,2,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
20,30,10,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
